# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1036075at2	Complete	tig00000001	2462715	2464493	+	277.7	318	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	tig00000001	107432	108154	+	161.3	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	tig00000001	579273	577738	-	599.9	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	tig00000001	1912837	1913958	+	467.9	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	tig00000001	2396204	2397121	+	153.2	182	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	tig00000001	2132736	2134418	+	299.7	382	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	tig00000001	1229945	1228896	-	391.2	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	tig00000001	2141339	2142700	+	316.1	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	tig00000001	1485850	1486506	+	206.2	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	tig00000001	2140363	2141325	+	254.8	247	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	tig00000001	126933	127856	+	118.1	122	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	tig00000001	1555117	1554506	-	196.3	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	tig00000001	93965	94981	+	244.9	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	tig00000001	2496943	2497698	+	326.0	249	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	tig00000001	1482703	1483332	+	184.0	162	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	tig00000001	2136779	2137738	+	139.3	154	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Fragmented	tig00000001	2042375	2041824	-	175.0	154	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	tig00000001	110679	111947	+	120.7	154	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	tig00000001	1489420	1489956	+	146.9	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Duplicated	tig00000001	2549029	2550054	+	277.4	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1419877at2	Duplicated	tig00000001	2324799	2325818	+	267.4	260	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	tig00000001	1488211	1488750	+	229.2	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	tig00000001	986459	985956	-	99.6	105	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	tig00000001	1042761	1041997	-	63.1	88	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	tig00000001	1493029	1493676	+	134.5	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	tig00000001	2687910	2688431	+	41.8	90	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	tig00000001	1210266	1209652	-	256.6	187	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	tig00000001	127860	128801	+	170.6	221	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	tig00000001	1490494	1490994	+	222.1	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	tig00000001	1477948	1478418	+	201.5	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	tig00000001	1491672	1492967	+	324.7	300	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	tig00000001	1483360	1483983	+	135.7	107	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	tig00000001	2127476	2127925	+	131.9	141	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	tig00000001	1413303	1412590	-	75.4	95	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	tig00000001	2397123	2398352	+	459.0	381	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	tig00000001	118439	118912	+	42.5	42	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	tig00000001	105534	106316	+	269.4	188	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	tig00000001	2089088	2089684	+	160.1	150	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	tig00000001	1485489	1485836	+	119.7	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	tig00000001	987558	986869	-	222.8	163	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	tig00000001	108157	108714	+	158.3	136	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	tig00000001	1189078	1188518	-	136.5	104	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	tig00000001	1488990	1489388	+	192.9	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	tig00000001	2689318	2689665	+	128.0	90	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	tig00000001	2514939	2515841	+	149.0	146	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	tig00000001	988084	987662	-	132.3	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	tig00000001	1477451	1477864	+	169.1	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	tig00000001	1494645	1495034	+	153.7	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	tig00000001	2510449	2510913	+	202.7	143	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	tig00000001	2588011	2588823	+	46.8	77	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	tig00000001	1652837	1653361	+	90.1	95	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	tig00000001	1347061	1346669	-	115.9	99	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	tig00000001	1494252	1494617	+	145.0	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	tig00000001	1429335	1429634	+	56.4	70	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	tig00000001	1486509	1486943	+	154.2	106	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	tig00000001	1487470	1487838	+	136.9	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	tig00000001	1347520	1347077	-	161.8	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	tig00000001	985903	985535	-	88.5	84	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	tig00000001	2025985	2026458	+	65.5	69	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	tig00000001	546302	545742	-	91.4	91	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	tig00000001	2586114	2586575	+	73.8	72	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	tig00000001	1496080	1496460	+	108.3	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	tig00000001	1376290	1377258	+	32.9	88	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	tig00000001	433790	432864	-	167.3	175	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	tig00000001	545745	545254	-	117.2	106	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	tig00000001	1491232	1491672	+	79.5	87	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	tig00000001	1525174	1525860	+	72.0	101	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	tig00000001	1485188	1485466	+	138.5	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	tig00000001	2117656	2117949	+	117.2	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	tig00000001	138762	139325	+	57.1	70	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	tig00000001	1653686	1654045	+	120.9	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	tig00000001	2686286	2686561	+	116.9	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	tig00000001	2512804	2513346	+	117.4	158	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	tig00000001	1430222	1430458	+	86.2	52	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	tig00000001	2116964	2117272	+	127.0	100	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	tig00000001	1432580	1433032	+	73.5	86	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	tig00000001	1490117	1490473	+	153.2	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	tig00000001	123079	123426	+	118.7	110	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	tig00000001	1483983	1484273	+	103.0	90	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	tig00000001	1583509	1583778	+	103.5	66	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Fragmented	tig00000001	821421	821161	-	79.8	60	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	tig00000001	538390	538644	+	77.8	63	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	tig00000001	1482364	1482672	+	147.1	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	tig00000001	1487146	1487412	+	89.4	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	tig00000001	1487875	1488183	+	61.3	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	tig00000001	1653433	1653633	+	25.1	34	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	tig00000001	1486933	1487121	+	60.9	37	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	tig00000001	1493867	1494085	+	92.0	57	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	tig00000001	2422339	2422770	+	48.1	65	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
